Rango,ASN,Organización,Descripción,País,Rango padre
58.180.26.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.27.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.28.0/24,4670,HYUNDAI-KR,Shinbiro,KR,47.254.0.0/16
58.180.28.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.30.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.32.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.33.0/24,4670,HYUNDAI-KR,Shinbiro,KR,49.248.128.0/18
58.180.34.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.36.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.37.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.40.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.40.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.40.0/21,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.42.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.43.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.44.0/22,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.51.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.52.0/24,4670,HYUNDAI-KR,Shinbiro,KR,49.228.0.0/14
58.180.58.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.58.0/23,4670,HYUNDAI-KR,Shinbiro,KR,50.4.0.0/16
58.180.64.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.68.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.69.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.70.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.70.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.71.0/24,4670,HYUNDAI-KR,Shinbiro,KR,59.186.0.0/15
58.180.72.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.73.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.74.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.76.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.77.0/24,4670,HYUNDAI-KR,Shinbiro,KR,49.228.0.0/14
58.180.78.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.81.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.82.0/23,4670,HYUNDAI-KR,Shinbiro,KR,
58.180.84.0/23,4670,HYUNDAI-KR,Shinbiro,KR,51.36.0.0/16
58.180.86.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.88.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.90.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
